Total Accelerators,Watts / CPU+GPU TDP,Dataset
8,0.6298982456140351,Inference
8,0.6298982456140351,Inference
8,0.8936035087719298,Inference
8,0.7590456140350877,Inference
8,0.8960842105263158,Inference
8,0.7612070175438597,Inference
8,0.7106350877192982,Inference
8,0.7765894736842106,Inference
8,0.7257192982456141,Inference
8,0.7445649122807019,Inference
8,0.7695859649122807,Inference
8,0.6685052631578947,Inference
8,0.8015068493150685,Inference
8,0.8015068493150685,Inference
8,0.9140493150684932,Inference
8,0.9255123287671232,Inference
8,0.9163315068493152,Inference
8,0.9359534246575344,Inference
8,0.9086328767123288,Inference
8,0.9253972602739724,Inference
8,0.9086328767123288,Inference
8,0.9253972602739724,Inference
8,0.8331753424657534,Inference
8,0.9476520547945204,Inference
8,0.8444575342465753,Inference
8,0.7950958904109588,Inference
8,0.8526657534246576,Inference
8,0.8548876712328768,Inference
8,0.7301428571428572,Inference
8,0.7094047619047619,Inference
8,0.7030595238095239,Inference
8,0.6538333333333334,Inference
8,0.9308809523809524,Inference
8,0.8609404761904762,Inference
8,0.6613714285714286,Inference
8,0.6613714285714286,Inference
8,0.7997190476190476,Inference
8,0.8291904761904761,Inference
8,0.8879984126984127,Inference
8,0.8775079365079366,Inference
8,0.8936301587301587,Inference
8,0.919826984126984,Inference
8,0.6666555555555556,Inference
8,0.6984793650793651,Inference
8,0.6450761904761905,Inference
8,0.6564634920634921,Inference
8,0.7229333333333333,Inference
8,0.7215746031746032,Inference
8,0.6040380952380953,Inference
8,0.6080746031746032,Inference
8,0.354504132231405,Inference
8,0.354504132231405,Inference
8,0.5037454545454545,Inference
8,0.5534512396694216,Inference
8,0.5471404958677686,Inference
8,0.5151520661157025,Inference
8,0.488494214876033,Inference
8,0.5041289256198347,Inference
8,0.3695851239669421,Inference
8,0.3716595041322314,Inference
8,0.3748942148760331,Inference
8,0.3756247933884298,Inference
8,0.3726611570247933,Inference
8,0.3879652892561983,Inference
8,0.3628661157024793,Inference
8,0.3615388429752066,Inference
16,0.6657212121212122,Inference
16,0.6612363636363636,Inference
16,0.7221030303030304,Inference
16,0.7049454545454545,Inference
16,0.863830303030303,Inference
16,0.8589636363636364,Inference
16,0.5956727272727272,Inference
16,0.5940181818181818,Inference
8,0.636452380952381,Inference
8,0.6304404761904763,Inference
8,0.7346547619047619,Inference
8,0.7135714285714285,Inference
8,0.816797619047619,Inference
8,0.7514404761904763,Inference
8,0.5585952380952381,Inference
8,0.542154761904762,Inference
64,1.0724620036278787,Training
8,1.064784244707401,Training
8,0.9197136275901164,Training
8,0.917890219426598,Training
8,1.12030144919825,Training
8,1.135717546705112,Training
8,1.1064330473603528,Training
512,1.2551102083946657,Training
512,0.9708522814442756,Training
64,1.264016101112104,Training
64,1.035058199872012,Training
64,1.1581453762929963,Training
72,0.9820844084714346,Training
8,1.0353664963704636,Training
8,0.8948973135245943,Training
8,0.8871058842656442,Training
8,1.0872369607813794,Training
8,1.1053797481027614,Training
8,1.0799992361543314,Training
512,1.2384305117288044,Training
512,0.9554809443288242,Training
64,1.247929806283112,Training
64,1.0205776991183977,Training
64,1.1438064541673902,Training
72,0.9664388615692704,Training
8,1.057841049453066,Training
8,1.0463880651370896,Training
8,1.0454671173833183,Training
8,1.0978238751855285,Training
