panel,instance_type,gpu_model_clean,gpu_vintage_group,canonical_basis_scenario,base_ondemand_voll_usd_per_mwh,gpu_class_median_voll_usd_per_mwh,distance_to_gpu_class_median,H_CUMULATIVE,U_mth,service_credit_share,voll_ondemand_incl_sla_usd_per_mwh
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.2,0.25,0.1,133044.94806421152
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.300000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.5,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.6000000000000005,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.7,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.800000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,6.9,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.0,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.1000000000000005,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.2,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.300000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.5,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.6000000000000005,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.7,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.800000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,7.9,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.0,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.1,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.200000000000001,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.3,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.4,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.5,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.6,0.25,0.3,385311.9924457035
H_CUMULATIVE,p4d.24xlarge,A100,Mainstream Modern AI,mid,6911.425873465533,7775.369845766445,863.9439723009118,8.700000000000001,0.25,0.3,385311.9924457035
