gpu_model_clean,voll_usd_per_mwh_inf_median,voll_spot_usd_per_mwh_inf_median,instance_type,flex_discount_usd_per_mwh,flex_discount_pct_of_ondemand,gpu_vintage_group,panel_scenario,voll_usd_per_mwh_trng_median,voll_spot_usd_per_mwh_trng_median
L4,,,gr6.4xlarge,7075.280898876404,54.54781704781705,Mainstream Modern AI,trng_median,12970.786516853932,5895.505617977528
L4,,,gr6.8xlarge,6776.008064516131,45.793819489862656,Mainstream Modern AI,trng_median,14796.77419354839,8020.766129032259
L4,,,gr6f.4xlarge,7601.612903225809,58.949343339587244,Mainstream Modern AI,trng_median,12895.161290322583,5293.548387096775
Inf1,,,inf1.24xlarge,2164.226190476191,77.01546282567251,Transitional / Early AI,trng_median,2810.119047619048,645.8928571428571
Inf1,,,inf1.2xlarge,2344.347826086956,74.47513812154696,Transitional / Early AI,trng_median,3147.826086956521,803.4782608695651
Inf1,,,inf1.6xlarge,2287.3809523809523,81.41525423728814,Transitional / Early AI,trng_median,2809.523809523809,522.1428571428571
Inf1,,,inf1.xlarge,1913.6842105263158,79.73684210526316,Transitional / Early AI,trng_median,2400.0,486.31578947368416
Inf2,,,inf2.24xlarge,3334.431818181818,45.20845530459434,Mainstream Modern AI,trng_median,7375.681818181818,4041.25
Inf2,,,inf2.48xlarge,1593.465909090909,21.6041536671982,Mainstream Modern AI,trng_median,7375.738636363636,5782.272727272727
Inf2,,,inf2.8xlarge,5276.896551724137,51.84206514558666,Mainstream Modern AI,trng_median,10178.793103448275,4901.896551724139
Inf2,,,inf2.xlarge,5404.477611940299,79.59641255605382,Mainstream Modern AI,trng_median,6789.850746268657,1385.3731343283582
V100,,,p3.16xlarge,7567.412207357861,82.15890522875817,Transitional / Early AI,trng_median,9210.702341137125,1643.290133779264
V100,,,p3.2xlarge,8185.484949832777,88.86928104575163,Transitional / Early AI,trng_median,9210.702341137125,1025.2173913043478
V100,,,p3.8xlarge,7891.479933110369,85.67728758169935,Transitional / Early AI,trng_median,9210.702341137125,1319.2224080267558
V100,,,p3dn.24xlarge,8275.3125,76.35813148788927,Transitional / Early AI,trng_median,10837.5,2562.1875
A100,,,p4d.24xlarge,3199.971671388102,51.44414690130069,Mainstream Modern AI,trng_median,6220.28328611898,3020.311614730878
A100,,,p4de.24xlarge,3525.665722379603,45.34395254872099,Mainstream Modern AI,trng_median,7775.382436260623,4249.71671388102
H100,,,p5.48xlarge,4110.925324675324,46.008902616279066,Mainstream Modern AI,trng_median,8935.064935064935,4824.13961038961
H100,,,p5.4xlarge,4078.392857142857,44.26162790697674,Mainstream Modern AI,trng_median,9214.285714285714,5135.892857142857
H200,,,p5en.48xlarge,7214.738535800483,70.84112740141558,Emerging / Frontier AI,trng_median,10184.39259855189,2969.654062751408
B200,,,p6-b200.48xlarge,9627.96551724138,73.51991700370745,Emerging / Frontier AI,trng_median,13095.724137931036,3467.758620689656
B300,,,p6-b300.48xlarge,12408.0,82.76879002359286,Emerging / Frontier AI,trng_median,14991.157894736842,2583.157894736842
Inf1,,,trn1.2xlarge,9625.747126436785,77.89849680011908,Transitional / Early AI,trng_median,12356.781609195405,2731.0344827586205
Inf1,,,trn1.32xlarge,8777.471264367816,71.03627906976743,Transitional / Early AI,trng_median,12356.32183908046,3578.850574712644
Inf1,,,trn1n.32xlarge,11529.022988505747,80.95439870863599,Transitional / Early AI,trng_median,14241.379310344828,2712.3563218390805
