date,voll_mean,voll_min,voll_max,obs_count,ondemand_price_usd_per_hour,voll_ondemand_historical
2025-05-10,3181.4730878186965,3043.4560906515576,3322.011331444759,13,32.773,9283.966851989133
2025-05-11,3145.3314447592065,3024.5325779036825,3305.410764872521,10,32.773,9283.966851989133
2025-05-16,2890.0849858356937,2748.640226628895,2969.4617563739375,3,32.773,9283.966851989133
2025-05-17,2829.4617563739375,2681.841359773371,2979.631728045326,12,32.773,9283.966851989133
2025-05-18,2740.6798866855524,2591.756373937677,2851.586402266289,11,32.773,9283.966851989133
2025-05-19,2695.46388101983,2593.56940509915,2932.4079320113315,8,32.773,9283.966851989133
2025-05-20,2776.055240793201,2579.1218130311613,3132.379603399433,12,32.773,9283.966851989133
2025-05-21,2838.668555240793,2569.093484419263,3181.473087818697,10,32.773,9283.966851989133
2025-05-22,2733.6195249509697,2582.1246458923515,3137.7337110481585,13,32.773,9283.966851989133
2025-05-23,2786.9971671388103,2631.5297450424932,3153.257790368272,11,32.773,9283.966851989133
2025-05-24,2774.754056142158,2639.2917847025496,3113.2011331444755,11,32.773,9283.966851989133
2025-05-25,2832.784702549575,2589.7450424929175,3182.209631728045,10,32.773,9283.966851989133
2025-05-26,2789.3295561850805,2590.2266288951837,3268.668555240793,12,32.773,9283.966851989133
2025-05-27,2893.0972615675164,2632.8611898016998,3339.1218130311613,12,32.773,9283.966851989133
2025-05-28,2878.2899819727013,2650.14164305949,3357.053824362606,11,32.773,9283.966851989133
2025-05-29,2945.124903425187,2704.6458923512746,3347.167138810198,11,32.773,9283.966851989133
2025-05-30,2885.5114888259363,2721.2747875354107,3363.597733711048,9,32.773,9283.966851989133
2025-05-31,2931.769250579449,2735.6373937677054,3336.0056657223795,11,32.773,9283.966851989133
2025-06-01,2963.699244570349,2779.5467422096317,3305.6373937677054,12,32.773,9283.966851989133
2025-06-02,3084.351274787535,2766.940509915014,3380.7365439093483,5,32.773,9283.966851989133
2025-06-03,3028.2719546742205,2765.7507082152974,3431.2464589235124,13,32.773,9283.966851989133
2025-06-04,3210.2034509399946,2727.2521246458923,3522.2946175637394,11,32.773,9283.966851989133
2025-06-05,3152.201133144476,2689.886685552408,3524.7308781869683,10,32.773,9283.966851989133
2025-06-06,3100.7700231779554,2630.9631728045324,3439.2917847025496,11,32.773,9283.966851989133
2025-06-07,2997.3229461756373,2505.1841359773366,3313.5977337110476,10,32.773,9283.966851989133
2025-06-08,2814.555240793201,2359.3201133144476,3255.6373937677054,10,32.773,9283.966851989133
