Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
F16s v2,F16s v2,32 GiB,16,2 GiB/vCPU,0,128 GiB,$0.677 hourly,,,$0.199 hourly,$1.416 hourly,,,$0.4163 hourly
F1ads v7,F1ads v7,4 GiB,1,4 GiB/vCPU,0,110 GiB,$0.0858 hourly,,,$0.0159 hourly,$0.132 hourly,,,$0.0244 hourly
F1alds v7,F1alds v7,2 GiB,1,2 GiB/vCPU,0,110 GiB,$0.0715 hourly,,,$0.0132 hourly,$0.118 hourly,,,$0.0218 hourly
F1als v7,F1als v7,2 GiB,1,2 GiB/vCPU,0,0 GiB,$0.0605 hourly,,,$0.0112 hourly,$0.107 hourly,,,$0.0198 hourly
F1amds v7,F1amds v7,8 GiB,1,8 GiB/vCPU,0,110 GiB,$0.109 hourly,,,$0.0201 hourly,$0.155 hourly,,,$0.0286 hourly
F1ams v7,F1ams v7,8 GiB,1,8 GiB/vCPU,0,0 GiB,$0.0895 hourly,,,$0.0165 hourly,$0.136 hourly,,,$0.0251 hourly
F1as v7,F1as v7,4 GiB,1,4 GiB/vCPU,0,0 GiB,$0.0683 hourly,,,$0.0126 hourly,$0.114 hourly,,,$0.0211 hourly
F1s,F1s,2 GiB,1,2 GiB/vCPU,0,4 GiB,$0.0497 hourly,,,$0.0092 hourly,$0.0957 hourly,,,$0.0179 hourly
F2,F2,4 GiB,2,2 GiB/vCPU,0,32 GiB,$0.179 hourly,,,$0.0331 hourly,$0.271 hourly,,,$0.0501 hourly
F2ads v7,F2ads v7,8 GiB,2,4 GiB/vCPU,0,220 GiB,$0.172 hourly,,,$0.0318 hourly,$0.264 hourly,,,$0.0488 hourly
F2alds v7,F2alds v7,4 GiB,2,2 GiB/vCPU,0,220 GiB,$0.143 hourly,,,$0.0264 hourly,$0.235 hourly,,,$0.0434 hourly
F2als v6,F2als v6,4 GiB,2,2 GiB/vCPU,0,0 GiB,$0.121 hourly,,,$0.0258 hourly,$0.213 hourly,,,$0.0455 hourly
F2als v7,F2als v7,4 GiB,2,2 GiB/vCPU,0,0 GiB,$0.121 hourly,,,$0.0224 hourly,$0.213 hourly,,,$0.0394 hourly
F2amds v7,F2amds v7,16 GiB,2,8 GiB/vCPU,0,220 GiB,$0.218 hourly,,,$0.0403 hourly,$0.31 hourly,,,$0.0573 hourly
F2ams v6,F2ams v6,16 GiB,2,8 GiB/vCPU,0,0 GiB,$0.179 hourly,,,$0.0382 hourly,$0.271 hourly,,,$0.0578 hourly
F2ams v7,F2ams v7,16 GiB,2,8 GiB/vCPU,0,0 GiB,$0.179 hourly,,,$0.0331 hourly,$0.271 hourly,,,$0.0501 hourly
F2as v6,F2as v6,8 GiB,2,4 GiB/vCPU,0,0 GiB,$0.137 hourly,,,$0.0292 hourly,$0.229 hourly,,,$0.0489 hourly
